airline_id,name,iata,icao,active
172,Amadeus Global Travel Distribution,1A,AGT,N
173,Angara Airlines,,AGU,N
174,Air Glaciers,7T,AGV,Y
175,Aero Gambia,,AGW,N
176,Aviogenex,,AGX,Y
177,Atlantic Coast Airlines,,BLR,N
178,Aero Barloz,,BLZ,N
179,Aeroper,PL,PLI,Y
180,Atlas Blue,8A,BMM,Y
181,Aero Banobras,,BNB,N
182,Aero Flight Service,,AGY,N
183,Agrolet-Mci,,AGZ,N
184,Air Alpha Greenland,GD,AHA,N
185,Azal Avia Cargo,,AHC,N
186,Airport Helicopter Basel,,AHE,N
187,Aeroservices Corporate,,CJE,N
188,Aspen Helicopters,,AHF,N
189,Aerochago Airlines,,AHG,N
190,Airplanes Holdings,,AHH,N
191,Air Hong Kong,LD,AHK,N
192,Aerochiapas,,AHP,N
193,Air Adriatic,,AHR,N
194,Air Viggi San Raffaele,,AHS,N
195,ABC Air Hungary,,AHU,N
196,Aeromist-Kharkiv,HT,AHW,N
197,Azerbaijan Airlines,J2,AHY,Y
198,Avies,U3,AIA,Y
199,Airbus Industrie,AP,AIB,N
200,Alpine Air Chile,,AIH,N
201,Air Integra,,AII,N
202,ABC Aerolineas,,AIJ,N
203,African Airlines International Limited,,AIK,N
204,African International Airways,,AIN,N
205,Alpine Air Express,5A,AIP,N
206,Alicante Internacional Airlines,,AIU,N
207,Aba Air,,ABP,N
208,Airblue,ED,ABQ,Y
209,Airmark Aviation,,THM,N
210,Airlift International,,AIR,Y
211,Airest,,AIT,N
212,Air Baffin,,BFF,N
213,Air Bandama,,BDM,N
214,Air Berlin,AB,BER,Y
215,Air Brousse,,ABT,N
216,Air Contractors,AG,ABR,N
217,Air Illinois,,AIL,N
218,Air India Limited,AI,AIC,Y
219,Air Inter Gabon,,AIG,N
220,Air Bourbon,ZB,BUB,Y
221,Air Atlanta Icelandic,CC,ABD,Y
222,Air Inuit,,AIE,N
223,Air Sureste,,AIS,N
224,Air Srpska,RB,SBK,N
225,Air Tahiti Nui,TN,THT,Y
226,Airvias S/A Linhas Aereas,,AIV,N
227,Aero Services Executive,W4,BES,N
228,Atlantic Island Airways,,AIW,N
229,Aircruising Australia,,AIX,N
230,Aircrew Check and Training Australia,,AIY,N
231,Arkia Israel Airlines,IZ,AIZ,Y
232,A J Services,,AJA,N
233,Aero JBR,,AJB,N
234,Aero Jet Express,,AJE,N
235,Avia Consult Flugbetriebs,,AJF,N
236,Ameristar Jet Charter,,AJI,N
237,A2 Jet Leasing,,AJJ,N
238,Allied Air,,AJK,N
239,Air Jamaica,JM,AJM,Y
240,Air One,AP,ADH,Y
241,Air Sahara,S2,RSH,Y
242,Air Malta,KM,AMC,Y
243,Aeroejecutivo,,AJO,N
244,Aero Jets Corporativos,,AJP,N
245,Aeroejecutivos Colombia,,AJS,N
246,Amerijet International,M6,AJT,N
247,Air Jetsul,,AJU,N
248,ANA & JP Express,,AJV,N
249,Alpha Jet International,,AJW,N
250,Air Japan,NQ,AJX,Y
251,Ajet,,AJY,N
252,Air Korea Co. Ltd.,,AKA,Y
253,Air Livonia,,LIV,N
